time	V(gatedmirrorout)
1.253169110188139e-08	1.536060e-02
1.256098797688139e-08	1.739268e-02
1.259028485188139e-08	1.891481e-02
1.261958172688140e-08	1.990087e-02
1.264887860188140e-08	2.035417e-02
1.267817547688140e-08	2.029968e-02
1.270747235188140e-08	1.977195e-02
1.273676922688140e-08	1.881685e-02
1.276606610188140e-08	1.749859e-02
1.279536297688140e-08	1.589440e-02
1.282465985188140e-08	1.408187e-02
1.285395672688141e-08	1.213634e-02
1.288325360188141e-08	1.013658e-02
1.291255047688141e-08	8.162792e-03
1.294184735188141e-08	6.286207e-03
1.297114422688141e-08	4.564981e-03
1.300044110188141e-08	3.049354e-03
1.302973797688141e-08	1.783352e-03
1.305903485188142e-08	7.982110e-04
1.308833172688142e-08	1.085201e-04
1.311762860188142e-08	-2.828121e-04
1.314692547688142e-08	-3.799149e-04
1.317622235188142e-08	-1.967068e-04
1.320551922688142e-08	2.401061e-04
1.323481610188142e-08	8.952891e-04
1.326411297688143e-08	1.731121e-03
1.329340985188143e-08	2.707368e-03
1.332270672688143e-08	3.778826e-03
1.335200360188143e-08	4.898089e-03
1.338130047688143e-08	6.021268e-03
1.341059735188143e-08	7.109239e-03
1.343989422688143e-08	8.125187e-03
1.346919110188143e-08	9.035360e-03
1.349848797688144e-08	9.813228e-03
1.352778485188144e-08	1.044087e-02
1.355708172688144e-08	1.090634e-02
1.358637860188144e-08	1.120237e-02
1.361567547688144e-08	1.132867e-02
1.364497235188144e-08	1.129301e-02
1.367426922688144e-08	1.110849e-02
1.370356610188145e-08	1.079103e-02
1.373286297688145e-08	1.036004e-02
1.376215985188145e-08	9.839276e-03
1.379145672688145e-08	9.254638e-03
1.382075360188145e-08	8.631285e-03
1.385005047688145e-08	7.993449e-03
1.387934735188145e-08	7.365369e-03
1.390864422688146e-08	6.770074e-03
1.393794110188146e-08	6.226969e-03
1.396723797688146e-08	5.751419e-03
1.399653485188146e-08	5.355995e-03
1.402583172688146e-08	5.050398e-03
1.405512860188146e-08	4.839937e-03
1.408442547688146e-08	4.725227e-03
1.411372235188147e-08	4.703682e-03
